Vuln,Title,Detail
V-222609,"The application must not be subject to input handling vulnerabilities.",SonarCloud
V-222610,"The application must generate error messages that provide information necessary for corrective actions without revealing information that could be exploited by adversaries.","Check error messages"
V-222611,"The application must reveal error messages only to the ISSO, ISSM, or SA.","Check error messages"
V-222612,"The application must not be vulnerable to overflow attacks.",NULL
V-222613,"The application must remove organization-defined software components after updated versions have been installed.",Dependabot
V-222614,"Security-relevant software updates and patches must be kept up to date.",Dependabot
V-222625,"Execution flow diagrams and design documents must be created to show how deadlock and recursion issues in web services are being mitigated.","web service (a.k.a. API) deadlocks not possible since API does not call client"
V-222626,"The designer must ensure the application does not store configuration and control files in the same directory as user data.","API is stateless"
V-222639,"Back-up copies of the application software or source code must be stored in a fire-rated container or stored separately (offsite).",NULL
V-222642,"The application must not contain embedded authentication data.",NULL
V-222643,"The application must have the capability to mark sensitive/classified output when required.","Add classification to CSV"
V-222644,"Prior to each release of the application, updates to system, or applying patches; tests plans and procedures must be created and executed.","Github workflows"
V-222645,"Application files must be cryptographically hashed prior to deploying to DoD operational networks.","Signed containers"
V-222646,"At least one tester must be designated to test for security flaws in addition to functional testing.","SonarCloud, newman"
V-222656,"The application must not be subject to error handling vulnerabilities.",SonarCloud
V-222658,"All products must be supported by the vendor or the development team.",NULL
V-222663,"An Application Configuration Guide must be created and included with the application.",Documentation
V-222665,"The designer must ensure uncategorized or emerging mobile code is not used in applications.",NULL
V-222667,"Protections against DoS attacks must be implemented.","Define DoS in threat model"
V-222670,"The application must provide notifications or alerts when product update and security related patches are available.","GitHub and DockerHub"
V-222672,"The application must generate audit records when concurrent logons from different workstations occur.",NULL
